"Block","Phase","Trial","RunningTime","Cue","Image","CorrResp","Resp","Accuracy","ISI","RT_from_CueOnset","ITI","subID"
1,2,177,1020.08,1,2,2,1,0,6,0.73,2.5,2
1,2,178,1032.85,1,1,1,1,1,8,0.68,0.5,2
1,2,179,1045.62,3,4,4,3,0,6,1,1.5,2
1,2,180,1057.38,4,4,4,3,0,4,0.49,8,2
2,1,1,0.51,2,2,2,1,0,1,2.57,0.5,2
2,1,2,5.29,3,4,4,4,1,1,2.53,0.5,2
2,1,3,10.07,4,3,3,3,1,1,2.37,0.5,2
2,1,4,14.86,3,3,3,3,1,1,2.55,1.5,2
2,1,5,20.64,4,4,4,4,1,1,2.41,0.5,2
2,1,6,25.42,1,2,2,2,1,1,2.46,1.5,2
2,1,7,31.21,4,3,3,4,0,1,2.4,0.5,2
2,1,8,35.99,4,4,4,4,1,1,2.4,5.5,2
2,1,9,45.78,1,2,2,2,1,1,2.4,0.5,2
2,1,10,50.56,3,3,3,3,1,1,2.46,2.5,2
2,1,11,57.34,2,1,1,1,1,1,2.32,0.5,2
2,1,12,62.13,1,1,1,1,1,1,2.5,8,2
2,1,13,74.39,1,1,1,1,1,1,2.52,3.5,2
2,1,14,82.18,3,4,4,4,1,1,2.49,2.5,2
2,1,15,88.95,3,3,3,3,1,1,2.77,2.5,2
2,1,16,95.73,1,1,1,1,1,1,2.39,1.5,2
2,1,17,101.51,2,2,2,2,1,1,2.43,1.5,2
2,1,18,107.3,2,2,2,2,1,1,2.28,0.5,2
2,1,19,112.08,1,2,2,2,1,1,2.38,0.5,2
2,1,20,116.86,3,3,3,3,1,1,2.47,3.5,2
2,1,21,124.65,4,3,3,3,1,1,2.39,0.5,2
2,1,22,129.43,1,2,2,2,1,1,2.51,0.5,2
2,1,23,134.22,1,1,1,1,1,1,2.35,0.5,2
2,1,24,139,4,3,3,3,1,1,2.42,8,2
2,1,25,151.27,1,1,1,1,1,1,2.4,0.5,2
2,1,26,156.05,1,2,2,2,1,1,2.4,1.5,2
2,1,27,161.83,2,2,2,1,0,1,2.29,2.5,2
2,1,28,168.62,1,1,1,1,1,1,2.3,0.5,2
2,1,29,173.4,1,1,1,1,1,1,1.33,0.5,2
2,1,30,178.19,1,2,2,1,0,1,0.86,1.5,2
2,1,31,183.97,2,2,2,1,0,1,1.48,3.5,2
2,1,32,191.75,3,3,3,3,1,1,1.5,0.5,2
2,1,33,196.54,1,1,1,2,0,1,1.19,0.5,2
2,1,34,201.32,3,3,3,4,0,1,1.74,5.5,2
2,1,35,211.09,3,3,3,3,1,1,0.87,1.5,2
2,1,36,216.87,4,4,4,4,1,1,2.58,0.5,2
2,1,37,221.66,1,1,1,1,1,1,2.39,1.5,2
2,1,38,227.44,1,1,1,1,1,1,2.2,0.5,2
2,1,39,232.22,3,3,3,3,1,1,1.05,3.5,2
2,1,40,240.01,2,2,2,2,1,1,0.89,0.5,2
2,1,41,244.79,2,1,1,2,0,1,0.7,5.5,2
2,1,42,254.57,2,1,1,2,0,1,0.54,0.5,2
2,1,43,259.36,4,4,4,4,1,1,0.7,0.5,2
2,1,44,264.14,3,3,3,3,1,1,0.68,2.5,2
2,1,45,270.93,3,3,3,3,1,1,2.49,0.5,2
2,1,46,275.71,4,4,4,4,1,1,0.97,1.5,2
2,1,47,281.49,2,2,2,2,1,1,1.57,2.5,2
2,1,48,288.28,2,2,2,2,1,1,0.69,5.5,2
2,1,49,298.06,3,4,4,3,0,1,0.69,1.5,2
2,1,50,303.84,4,3,3,4,0,1,0.65,1.5,2
2,1,51,309.63,4,4,4,4,1,1,0.67,0.5,2
2,1,52,314.41,4,4,4,4,1,1,0.64,1.5,2
2,1,53,320.2,2,1,1,2,0,1,0.81,0.5,2
2,1,54,324.98,3,3,3,3,1,1,0.75,0.5,2
2,1,55,329.76,2,2,2,2,1,1,0.92,0.5,2
2,1,56,334.55,2,1,1,2,0,1,0.76,3.5,2
2,1,57,342.33,3,3,3,3,1,1,0.79,4.5,2
2,1,58,351.11,3,4,4,3,0,1,0.65,0.5,2
2,1,59,355.9,2,1,1,1,1,1,1.51,1.5,2
2,1,60,361.68,4,4,4,4,1,1,0.84,5.5,2
2,1,61,371.45,3,3,3,3,1,1,0.6,0.5,2
2,1,62,376.23,2,1,1,2,0,1,1.21,2.5,2
2,1,63,383.02,3,4,4,3,0,1,0.6,4.5,2
2,1,64,391.8,3,3,3,3,1,1,0.7,0.5,2
2,1,65,396.58,3,4,4,3,0,1,0.59,3.5,2
2,1,66,404.37,4,4,4,4,1,1,0.68,1.5,2
2,1,67,410.15,3,3,3,3,1,1,0.59,4.5,2
2,1,68,418.94,1,1,1,1,1,1,0.94,0.5,2
2,1,69,423.72,3,4,4,3,0,1,2.56,1.5,2
2,1,70,429.5,2,2,2,2,1,1,2.32,3.5,2
2,1,71,437.29,4,4,4,4,1,1,0.69,0.5,2
2,1,72,442.07,1,1,1,1,1,1,1.41,0.5,2
2,1,73,446.85,2,2,2,2,1,1,0.7,0.5,2
2,1,74,451.64,4,3,3,4,0,1,0.63,0.5,2
2,1,75,456.42,1,1,1,1,1,1,0.88,5.5,2
2,1,76,466.19,1,1,1,1,1,1,0.96,2.5,2
2,1,77,472.97,3,4,4,3,0,1,0.71,1.5,2
2,1,78,478.76,3,4,4,3,0,1,0.62,3.5,2
2,1,79,486.54,4,3,3,4,0,1,0.68,0.5,2
2,1,80,491.32,1,1,1,1,1,1,1.53,1.5,2
2,1,81,497.11,2,2,2,2,1,1,0.95,0.5,2
