subID,RT,faceChoice,carChoice,faceCorrect,carCorrect,cueIdx,coh1,coh2,stimOnsetTime,respTime,timeout,accuracy
1,933,0,1,0,1,0,1,0,728448,729381,0,1
1,817,1,0,1,0,2,0,1,732147,732964,0,1
1,683,0,1,0,1,0,0,1,735829,736512,0,1
1,717,0,1,0,1,0,0,1,739478,740195,0,1
1,699,0,1,0,1,2,1,0,742894,743593,0,1
1,766,0,1,0,1,0,1,0,746243,747009,0,1
1,966,1,0,1,0,1,0,1,749925,750891,0,1
1,567,1,0,1,0,2,0,1,753473,754040,0,1
1,666,1,0,1,0,2,1,0,756806,757472,0,1
1,566,0,1,0,1,0,0,1,760338,760904,0,1
1,533,0,1,0,1,1,1,0,763620,764153,0,1
1,533,1,0,1,0,2,0,1,766719,767252,0,1
1,650,0,1,0,1,1,0,1,770018,770668,0,1
1,484,1,0,0,1,1,0,1,773250,773734,0,0
1,583,0,1,0,1,2,1,0,776599,777182,0,1
1,800,1,0,1,0,1,0,1,780198,780998,0,1
1,833,0,1,0,1,0,1,0,783780,784613,0,1
1,600,0,1,0,1,1,0,1,787429,788029,0,1
1,917,1,0,1,0,2,1,0,790611,791528,0,1
1,800,1,0,1,0,1,0,1,794443,795243,0,1
1,833,0,1,1,0,2,1,0,798109,798942,0,0
1,883,1,0,1,0,1,1,0,801524,802407,0,1
1,683,0,1,0,1,1,1,0,805423,806106,0,1
1,700,0,1,0,1,2,1,0,808805,809505,0,1
1,733,1,0,1,0,2,1,0,812121,812854,0,1
1,1016,0,1,0,1,2,0,1,815753,816769,0,1
1,617,0,1,0,1,1,1,0,819385,820002,0,1
1,583,0,1,0,1,1,1,0,822701,823284,0,1
1,600,1,0,1,0,2,1,0,826116,826716,0,1
1,716,0,1,0,1,2,0,1,829332,830048,0,1
1,617,0,1,0,1,1,1,0,833014,833631,0,1
1,550,1,0,1,0,0,0,1,836613,837163,0,1
1,550,0,1,0,1,0,1,0,839962,840512,0,1
1,700,1,0,1,0,2,1,0,843111,843811,0,1
1,583,0,1,0,1,0,0,1,846660,847243,0,1
1,850,0,1,1,0,2,1,0,850108,850958,0,0
1,633,1,0,1,0,0,0,1,853924,854557,0,1
1,850,0,1,1,0,0,1,0,857406,858256,0,0
1,600,0,1,0,1,0,1,0,860888,861488,0,1
1,584,1,0,1,0,0,0,1,864370,864954,0,1
1,883,0,1,0,1,1,1,0,867753,868636,0,1
1,566,0,1,0,1,1,0,1,883172,883738,0,1
1,700,0,1,0,1,0,0,1,886554,887254,0,1
1,866,0,1,0,1,2,1,0,890153,891019,0,1
1,650,0,1,0,1,2,0,1,893685,894335,0,1
1,650,1,0,1,0,0,1,0,896967,897617,0,1
1,583,1,0,1,0,1,0,1,900233,900816,0,1
1,767,1,0,1,0,0,1,0,903598,904365,0,1
1,683,1,0,1,0,0,0,1,906914,907597,0,1
1,566,1,0,1,0,2,0,1,910280,910846,0,1
1,517,1,0,1,0,2,0,1,913495,914012,0,1
1,616,1,0,1,0,0,1,0,916811,917427,0,1
1,766,0,1,0,1,1,1,0,920160,920926,0,1
1,750,0,1,0,1,0,1,0,923492,924242,0,1
1,667,0,1,0,1,2,0,1,927024,927691,0,1
1,517,1,0,1,0,2,0,1,930556,931073,0,1
1,717,0,1,1,0,2,1,0,933805,934522,0,0
1,483,1,0,1,0,2,1,0,937204,937687,0,1
1,700,0,1,0,1,2,0,1,940286,940986,0,1
1,750,1,0,1,0,0,1,0,943702,944452,0,1
1,617,0,1,0,1,1,1,0,947334,947951,0,1
1,684,1,0,1,0,2,0,1,950516,951200,0,1
1,666,1,0,1,0,0,0,1,954049,954715,0,1
1,850,0,1,1,0,1,1,0,957664,958514,0,0
1,616,1,0,1,0,2,0,1,961163,961779,0,1
1,683,0,1,0,1,0,1,0,964329,965012,0,1
1,733,0,1,0,1,1,0,1,967894,968627,0,1
1,816,0,1,0,1,1,0,1,971243,972059,0,1
1,749,0,1,0,1,0,0,1,975042,975791,0,1
1,600,0,1,1,0,1,1,0,978674,979274,0,0
1,584,0,1,0,1,1,0,1,982139,982723,0,1
1,600,1,0,1,0,1,0,1,985305,985905,0,1
1,617,0,1,0,1,0,0,1,988587,989204,0,1
1,534,1,0,1,0,2,0,1,992019,992553,0,1
1,567,0,1,0,1,2,0,1,995368,995935,0,1
1,700,0,1,1,0,1,1,0,998634,999334,0,0
1,667,0,1,0,1,2,1,0,1002116,1002783,0,1
1,699,0,1,0,1,1,1,0,1005632,1006331,0,1
1,683,0,1,0,1,0,1,0,1008914,1009597,0,1
1,600,0,1,0,1,1,0,1,1012279,1012879,0,1
1,800,0,1,0,1,0,1,0,1015895,1016695,0,1
1,633,0,1,0,1,0,1,0,1019710,1020343,0,1
1,649,1,0,1,0,1,1,0,1023243,1023892,0,1
1,600,0,1,0,1,1,0,1,1026475,1027075,0,1
1,733,1,0,1,0,0,0,1,1030040,1030773,0,1
1,600,1,0,1,0,0,0,1,1033439,1034039,0,1
1,650,1,0,1,0,0,1,0,1036771,1037421,0,1
1,567,0,1,0,1,2,1,0,1040220,1040787,0,1
1,734,0,1,0,1,1,1,0,1043752,1044486,0,1
1,600,0,1,0,1,1,0,1,1047185,1047785,0,1
1,567,1,0,1,0,2,0,1,1050750,1051317,0,1
1,567,1,0,1,0,0,0,1,1053932,1054499,0,1
1,633,0,1,0,1,1,0,1,1057415,1058048,0,1
1,950,1,0,1,0,1,1,0,1061063,1062013,0,1
1,617,1,0,1,0,0,0,1,1064812,1065429,0,1
1,800,0,1,0,1,2,0,1,1068094,1068894,0,1
1,716,0,1,0,1,0,0,1,1071477,1072193,0,1
1,567,1,0,1,0,0,0,1,1075092,1075659,0,1
1,600,0,1,0,1,1,1,0,1078308,1078908,0,1
1,749,0,1,0,1,1,1,0,1081657,1082406,0,1
1,734,0,1,0,1,1,0,1,1085405,1086139,0,1
1,883,0,1,1,0,2,1,0,1089038,1089921,0,0
1,899,0,1,0,1,1,0,1,1092620,1093519,0,1
1,933,0,1,0,1,2,1,0,1096152,1097085,0,1
1,949,0,1,0,1,0,1,0,1099751,1100700,0,1
